Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;1;0;0;0;0;0;0;0;2;3;2019;Araçatuba;Andradina;01 DP - Andradina
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;1;0;0;0;0;0;0;0;2;3;2019;Araçatuba;Andradina;01 DP - Andradina
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;01 DP - Andradina
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;01 DP - Andradina
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;1;0;0;0;0;0;0;0;1;0;3;2019;Araçatuba;Andradina;01 DP - Andradina
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;01 DP - Andradina
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;3;0;2;1;0;2;0;8;2019;Araçatuba;Andradina;01 DP - Andradina
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;01 DP - Andradina
LESÃO CORPORAL DOLOSA;12;12;2;11;5;3;7;8;11;9;10;8;98;2019;Araçatuba;Andradina;01 DP - Andradina
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;2;5;5;6;5;12;15;8;4;3;2;7;74;2019;Araçatuba;Andradina;01 DP - Andradina
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;1;0;0;1;0;0;0;2;2019;Araçatuba;Andradina;01 DP - Andradina
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;01 DP - Andradina
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;01 DP - Andradina
TOTAL DE ESTUPRO (4);0;1;2;0;0;0;0;1;0;0;1;1;6;2019;Araçatuba;Andradina;01 DP - Andradina
ESTUPRO;0;0;1;0;0;0;0;0;0;0;0;0;1;2019;Araçatuba;Andradina;01 DP - Andradina
ESTUPRO DE VULNERÁVEL;0;1;1;0;0;0;0;1;0;0;1;1;5;2019;Araçatuba;Andradina;01 DP - Andradina
TOTAL DE ROUBO - OUTROS (1);4;3;0;3;3;4;1;3;0;4;0;0;25;2019;Araçatuba;Andradina;01 DP - Andradina
ROUBO - OUTROS;4;2;0;3;3;3;1;2;0;4;0;0;22;2019;Araçatuba;Andradina;01 DP - Andradina
ROUBO DE VEÍCULO;0;0;0;0;0;0;1;0;0;0;0;0;1;2019;Araçatuba;Andradina;01 DP - Andradina
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;01 DP - Andradina
ROUBO DE CARGA;0;1;0;0;0;1;0;1;0;0;0;0;3;2019;Araçatuba;Andradina;01 DP - Andradina
FURTO - OUTROS;27;36;38;31;27;17;32;33;27;20;19;25;332;2019;Araçatuba;Andradina;01 DP - Andradina
FURTO DE VEÍCULO;1;0;0;1;0;0;0;1;0;2;2;0;7;2019;Araçatuba;Andradina;01 DP - Andradina
