Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
LESÃO CORPORAL DOLOSA;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
TOTAL DE ESTUPRO (4);0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
TOTAL DE ROUBO - OUTROS (1);0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
ROUBO - OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
FURTO - OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
FURTO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;Araçatuba;Andradina;DIG - Andradina
