Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;1;0;0;0;0;0;0;0;1;2;2021;Bauru;Agudos;DM - Agudos
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;1;0;0;0;0;0;0;0;1;2;2021;Bauru;Agudos;DM - Agudos
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;Bauru;Agudos;DM - Agudos
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;Bauru;Agudos;DM - Agudos
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;1;0;0;1;0;0;1;0;1;0;5;2021;Bauru;Agudos;DM - Agudos
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;Bauru;Agudos;DM - Agudos
TENTATIVA DE HOMICÍDIO;1;1;2;0;1;0;1;0;0;1;0;0;7;2021;Bauru;Agudos;DM - Agudos
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;1;0;0;0;1;2021;Bauru;Agudos;DM - Agudos
LESÃO CORPORAL DOLOSA;10;12;6;11;10;15;8;17;12;10;16;10;137;2021;Bauru;Agudos;DM - Agudos
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;5;4;6;4;0;4;5;6;8;3;5;7;57;2021;Bauru;Agudos;DM - Agudos
LESÃO CORPORAL CULPOSA - OUTRAS;0;1;0;0;0;0;0;0;0;0;0;0;1;2021;Bauru;Agudos;DM - Agudos
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;Bauru;Agudos;DM - Agudos
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;Bauru;Agudos;DM - Agudos
TOTAL DE ESTUPRO (4);0;0;1;0;2;0;1;1;1;0;2;3;11;2021;Bauru;Agudos;DM - Agudos
ESTUPRO;0;0;0;0;1;0;0;0;1;0;0;0;2;2021;Bauru;Agudos;DM - Agudos
ESTUPRO DE VULNERÁVEL;0;0;1;0;1;0;1;1;0;0;2;3;9;2021;Bauru;Agudos;DM - Agudos
TOTAL DE ROUBO - OUTROS (1);1;2;1;1;1;2;2;2;4;1;1;1;19;2021;Bauru;Agudos;DM - Agudos
ROUBO - OUTROS;1;2;1;1;1;2;2;2;4;1;1;1;19;2021;Bauru;Agudos;DM - Agudos
ROUBO DE VEÍCULO;1;0;0;0;1;0;0;0;0;0;0;0;2;2021;Bauru;Agudos;DM - Agudos
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;Bauru;Agudos;DM - Agudos
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;Bauru;Agudos;DM - Agudos
FURTO - OUTROS;19;42;27;38;30;18;35;24;24;27;28;32;344;2021;Bauru;Agudos;DM - Agudos
FURTO DE VEÍCULO;0;0;0;0;1;3;3;1;1;1;5;0;15;2021;Bauru;Agudos;DM - Agudos
