Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
LESÃO CORPORAL DOLOSA;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
TOTAL DE ESTUPRO (4);0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
TOTAL DE ROUBO - OUTROS (1);0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
ROUBO - OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
FURTO - OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
FURTO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Andradina;OUTRAS ESPECIALIZADAS
