Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio
HOMICÍDIO DOLOSO (2);7;8;5;3;8;4;2;6;7;8;6;7;71;2023;Araçatuba;Municípios
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);8;10;5;3;8;5;2;6;8;8;7;7;77;2023;Araçatuba;Municípios
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Municípios
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Municípios
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;6;4;10;11;10;6;6;10;6;10;6;13;98;2023;Araçatuba;Municípios
HOMICÍDIO CULPOSO OUTROS;1;0;1;1;0;0;1;0;0;0;0;1;5;2023;Araçatuba;Municípios
TENTATIVA DE HOMICÍDIO;8;10;10;12;9;4;3;8;12;10;12;11;109;2023;Araçatuba;Municípios
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;1;1;0;0;1;1;0;1;5;2023;Araçatuba;Municípios
LESÃO CORPORAL DOLOSA;229;197;292;215;233;217;224;231;276;289;280;302;2.985;2023;Araçatuba;Municípios
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;189;188;263;216;257;242;248;261;276;260;194;224;2.818;2023;Araçatuba;Municípios
LESÃO CORPORAL CULPOSA - OUTRAS;5;6;6;12;5;14;6;11;10;2;5;5;87;2023;Araçatuba;Municípios
LATROCÍNIO;0;1;2;0;0;0;0;0;1;0;0;0;4;2023;Araçatuba;Municípios
Nº DE VÍTIMAS EM LATROCÍNIO;0;1;2;0;0;0;0;0;1;0;0;0;4;2023;Araçatuba;Municípios
TOTAL DE ESTUPRO (4);17;22;29;25;32;17;17;29;23;26;20;20;277;2023;Araçatuba;Municípios
ESTUPRO;2;6;6;9;4;1;2;6;3;10;2;4;55;2023;Araçatuba;Municípios
ESTUPRO DE VULNERÁVEL;15;16;23;16;28;16;15;23;20;16;18;16;222;2023;Araçatuba;Municípios
TOTAL DE ROUBO - OUTROS (1);45;29;37;35;28;23;22;30;30;34;30;23;366;2023;Araçatuba;Municípios
ROUBO - OUTROS;44;29;37;35;28;23;22;30;30;33;30;22;363;2023;Araçatuba;Municípios
ROUBO DE VEÍCULO;7;2;3;2;2;0;1;2;2;3;6;7;37;2023;Araçatuba;Municípios
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Municípios
ROUBO DE CARGA;1;0;0;0;0;0;0;0;0;1;0;1;3;2023;Araçatuba;Municípios
FURTO - OUTROS;702;581;696;579;616;525;550;581;546;575;552;589;7.092;2023;Araçatuba;Municípios
FURTO DE VEÍCULO;31;25;36;34;41;28;19;39;22;46;61;43;425;2023;Araçatuba;Municípios
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Alto Alegre
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Alto Alegre
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Alto Alegre
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Alto Alegre
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;0;0;0;0;0;0;0;1;2023;Araçatuba;Alto Alegre
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Alto Alegre
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Alto Alegre
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Alto Alegre
LESÃO CORPORAL DOLOSA;0;0;0;0;0;1;0;1;0;1;0;1;4;2023;Araçatuba;Alto Alegre
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;1;1;0;0;0;0;0;0;1;0;1;4;2023;Araçatuba;Alto Alegre
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;1;0;0;0;0;0;0;1;2023;Araçatuba;Alto Alegre
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Alto Alegre
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Alto Alegre
TOTAL DE ESTUPRO (4);0;0;0;0;0;2;0;0;0;0;0;0;2;2023;Araçatuba;Alto Alegre
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Alto Alegre
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;2;0;0;0;0;0;0;2;2023;Araçatuba;Alto Alegre
TOTAL DE ROUBO - OUTROS (1);0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Araçatuba;Alto Alegre
ROUBO - OUTROS;0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Araçatuba;Alto Alegre
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Alto Alegre
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Alto Alegre
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Alto Alegre
FURTO - OUTROS;1;2;0;0;2;3;2;3;2;2;2;1;20;2023;Araçatuba;Alto Alegre
FURTO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Alto Alegre
HOMICÍDIO DOLOSO (2);1;0;0;0;1;0;0;0;0;0;0;0;2;2023;Araçatuba;Andradina
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;0;0;1;0;0;0;0;0;0;0;2;2023;Araçatuba;Andradina
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Araçatuba;Andradina
